,ACWI IMI IMI (Large+Mid+Small Cap),ACWI Standard (Large+Mid Cap),WORLD Standard (Large+Mid Cap),EM (EMERGING MARKETS) Standard (Large+Mid Cap),EUROPE Standard (Large+Mid Cap),NORTH AMERICA Standard (Large+Mid Cap),S&P 500,NASDAQ,Dow Jones
2010-11,781.964,308.381,"1,193.558","1,075.853","1,344.749","1,268.833",657.2120563033417,896.3867495681878,336.81242757013166
2010-12,840.086,330.636,"1,280.071","1,151.385","1,456.830","1,352.688",700.1280300965866,951.8729820567162,354.30149458713396
2011-01,851.347,335.581,"1,308.083","1,119.079","1,512.867","1,381.055",715.9828314630564,968.8123286192238,363.9235506685756
2011-02,875.123,344.823,"1,351.647","1,107.767","1,559.612","1,429.691",738.8631824449263,998.3027978715879,374.15735919588775
2011-03,874.099,343.64,"1,334.925","1,170.870","1,542.529","1,428.966",738.0893614736781,997.8722449044845,377.0153518633757
2011-04,907.678,356.902,"1,388.620","1,204.028","1,657.043","1,468.298",759.121498794791,1031.0512785079827,392.03538361801964
2011-05,884.936,347.896,"1,354.607","1,167.972","1,588.340","1,446.467",748.8726351978112,1017.3304358242845,384.6678161057803
2011-06,868.746,341.817,"1,331.182","1,146.219","1,554.629","1,417.888",735.2001217780961,995.1632214034319,379.9106414068991
2011-07,853.444,335.896,"1,306.054","1,137.731","1,500.683","1,388.395",719.4121216775205,989.0131905573558,371.6142980024878
2011-08,787.791,310.618,"1,211.224","1,033.150","1,346.723","1,311.068",678.5559102131184,925.5327764468692,355.4038145170768
2011-09,709.291,280.639,"1,104.065",880.434,"1,197.082","1,205.669",629.8613890721828,866.6665936668418,333.9774167116752
2011-10,785.438,310.434,"1,217.296",995.562,"1,341.106","1,335.633",697.7119716974656,963.1897361078231,365.85396285658504
2011-11,760.237,300.447,"1,184.604",928.325,"1,275.982","1,325.377",694.182445605897,940.2009232579852,368.6286950299746
2011-12,757.157,299.511,"1,182.595",916.387,"1,255.535","1,331.569",700.1057403557796,934.7505519334259,373.8886603077186
2012-01,802.604,316.655,"1,240.894","1,019.394","1,312.830","1,394.062",730.6184927378258,1009.630414296636,386.59945359180045
2012-02,841.420,331.927,"1,298.720","1,079.443","1,392.160","1,451.008",760.2739055771242,1064.5460217540938,396.36657300359167
2012-03,844.701,333.297,"1,312.011","1,041.447","1,379.739","1,486.824",784.0950467167144,1109.282358431622,404.3223134463233
2012-04,833.422,328.673,"1,293.991","1,026.016","1,339.215","1,477.436",778.2163314484458,1093.0606293475503,404.37096674294645
2012-05,755.798,297.985,"1,177.645",906.296,"1,164.809","1,377.186",729.4605135202909,1014.4743322760769,379.27136458376214
2012-06,790.271,312.111,"1,235.716",937.354,"1,253.978","1,427.947",758.314311168859,1053.1216075612635,394.16378603338086
2012-07,798.636,316.024,"1,250.569",952.488,"1,266.904","1,446.420",767.8672319743614,1054.7254721135926,398.098965078932
